carlsberg,1
carman,1
carnian,4
carrier,2
case,59
casing,335
castberg,4
castor,1
cat,6
catch,1
catcher,5
category,2
cation,1
cato,1
cause,15
causing,2
cavern,1
caving,21
cavity,1
cbl,3
cc,123
ccm,1
cdr,4
cell,3
cellulose,1
celpol,1
cement,176
cementation,19
cementing,5
cenomanian,9
cent,3
centimetre,1
centraliser,1
centre,18
cerberus,1
cero,1
certainty,1
certification,2
cesium,1
cf,3
cgr,2
chain,14
chalk,301
chalky,1
challenge,3
chamber,120
chamonix,2
chance,4
change,49
channel,33
channelling,2
character,10
characterise,1
characteristic,77
charge,8
check,38
checking,2
checkshot,1
chekshot,1
chem,1
chemical,5
chemtrol,1
chenery,2
chert,9
cherty,1
chft,2
chimney,3
chip,15
chist,1
chloride,15
chlorine,1
chlorite,3
chloroform,2
choice,2
choke,330
choose,1
chris,2
christensen,1
chromatogram,1
chromatograph,11
chromatography,1
chrome,4
chromium,6
cht,2
chunk,1
ci,1
cinerite,1
circuit,2
circulate,1
circulating,2
circulation,136
cl,5
clapton,1
clarify,4
class,23
classification,4
clast,2
clastic,13
clay,140
clayey,1
claystone,516
cleaning,6
cleanup,11
clearing,2
cliffhanger,2
clinoform,1
close,6
closing,5
closure,208
cloud,1
cluster,3
cm,373
cmc,75
cmr,1
cm³,2
cnl,5
co,120
coal,173
coalification,1
coaly,7
coarse,8
coarser,6
coast,8
coating,1
coccolith,1
cod,37
coeus,2
coeval,1
coffee,2
coil,1
coincide,5
col,2
cola,1
coldwater,1
colette,1
collapse,3
collar,9
collect,1
collection,4
coloration,1
colour,16
column,394
combat,2
combination,19
combine,1
combo,1
commence,2
commencement,1
commencing,1
comment,1
commercial,1
commerciality,4
commitment,35
communication,183
compaction,6
company,1
comparison,9
compartment,78
compatibility,1
compensate,2
compensator,3
complement,1
completion,38
complex,48
complexity,3
complexly,1
complicate,1
complication,1
component,34
composition,41
compound,2
compression,1
comprise,4
comprising,2
computation,1
computer,1
concentrate,2
concentration,17
concept,13
concern,8
concert,3
concession,3
conclude,3
conclusion,8
concretion,1
condansate,1
condensate,492
condensation,1
condition,155
conditioning,4
conduct,4
conductivity,1
conductor,43
cone,7
confidence,2
configuration,9
confirm,16
confirmation,7
confirmed,1
conflct,1
conflict,6
conformance,1
conglomerate,62
coniacian,1
coning,10
conjunction,3
connect,2
connection,20
connectivity,3
connector,9
conoco,5
consensus,1
consent,2
consequence,10
consequential,1
consideration,6
consist,17
consolidation,2
constant,1
constituent,1
constitute,2
consumption,1
contact,1018
contain,40
contaminant,3
contamination,94
content,170
contingency,4
contingent,2
continuation,24
continuity,16
contract,6
